PROGRAM_NAME,ALIAS,PROGRAM_VERSION,PROGRAM_INSTALL
just,justfile,,"cargo install just"
docker,,,
rg,ripgrep,,"cargo install ripgrep"
recolor,,,"cargo install recolor"
nc,netcat,,
mysql-client,,,"brew install mysql-client"
